id,car_model,car_year,car_vin,color,price
1,Vibe,2009,WA1LMBFE4FD902145,Indigo,"€25252,66"
2,4000CS Quattro,1987,WVGFF9BPXBD994686,Teal,"€36733,84"
3,A4,1999,2C4RDGCG9ER928142,Fuscia,"€15085,55"
4,300M,1999,SCBZK22E02C258206,Pink,"€15000,75"
5,Accord,2000,SCFAD02E79G367470,Teal,"€21272,77"
6,Cube,2012,WP0AB2A83CS821651,Mauv,"€19933,07"
7,Eurovan,1992,1FTEW1CF0FF111368,Goldenrod,"€15163,21"
8,Alero,2003,WAUBH74F67N480547,Red,"€37270,30"
9,Tahoe,2009,JN8AS5MT5CW491431,Red,"€16903,97"
10,Roadrunner,1969,5N1BA0NE7FN276922,Pink,"€16832,36"
11,Fortwo,2011,WBA1F5C54FV880958,Violet,"€30646,70"
12,911,1997,4A31K2DF1BE359899,Goldenrod,"€35082,48"
13,Element,2003,WAUWGAFB9BN470504,Pink,"€22103,43"
14,98,1993,WVGEF9BP1DD901794,Indigo,"€37280,15"
15,SL-Class,1986,WAUEH48H48K995489,Blue,"€10879,65"
16,3 Series,2011,2G61M5S39E9636493,Blue,"€22837,48"
17,Rally Wagon 2500,1994,JH4CL96898C490338,Goldenrod,"€13985,12"
18,Previa,1997,WAUGL78E55A796788,Blue,"€10071,64"
19,LaCrosse,2011,WVWAN7AN6DE781625,Maroon,"€29088,57"
20,Defender,1995,WDBSK7AA6CF148849,Teal,"€24244,13"
21,V40,2004,JTDKN3DUXB0314198,Green,"€23880,15"
22,C70,2009,5UXKU6C53F0572534,Turquoise,"€22775,06"
23,HHR,2006,3GYFNDE30FS282237,Fuscia,"€30409,37"
24,Sierra 1500,2011,1GTPCTEX2AZ010507,Aquamarine,"€30446,78"
25,Esteem,2002,1HGCR2F34DA313604,Red,"€28846,36"
26,100,1990,19UUA8F58CA875844,Khaki,"€24743,58"
27,57,2009,SCBCU7ZA6AC970492,Crimson,"€12753,11"
28,Firefly,1995,1D4PU7GX7BW080169,Orange,"€37784,70"
29,Type-1h,2010,WAUPEAFM2DA506099,Crimson,"€14991,96"
30,Quest,1997,1FTMF1EW2AF174800,Red,"€38266,58"
31,Escalade,2003,1G6DL1ED9B0457292,Indigo,"€38279,47"
32,Yukon XL 1500,2011,5FRYD4H67FB221322,Fuscia,"€34285,67"
33,C8,2007,1G4CW54K644410476,Teal,"€25175,17"
34,Tacoma Xtra,2003,2C3CDZAT1FH615759,Puce,"€19365,42"
35,Wrangler,1997,2C4RDGDG7DR329141,Turquoise,"€29657,32"
36,MDX,2007,5UMDU93568L183279,Pink,"€14068,91"
37,Vision,1995,SCFFBCBD9BG652990,Mauv,"€20910,24"
38,Ram 1500 Club,2001,WA1VFBFL2EA631183,Yellow,"€24790,77"
39,Avalanche 1500,2006,1C3BCBGGXEN122376,Puce,"€22546,29"
40,Mountaineer,2004,WA1YD64B43N566993,Turquoise,"€28838,41"
41,Elan,1990,WAULC58EX4A700963,Khaki,"€12076,20"
42,XJ,2008,WAUR2AFD3DN138834,Puce,"€36507,36"
43,Explorer Sport Trac,2003,JN8AF5MR1ET617426,Maroon,"€28647,39"
44,Type 2,1985,JN8CS1MWXFM085821,Teal,"€19606,21"
45,Firefly,1992,1ZVBP8JS4A5961771,Mauv,"€37603,59"
46,Grand Caravan,2009,WBAAV33491E977046,Pink,"€36814,93"
47,GLC,1984,5N1AA0NC2BN478121,Khaki,"€28206,97"
48,Ram 3500,1997,1FBNE3BL3BD513501,Red,"€26143,16"
49,Mazda6,2010,5FPYK1F21CB557332,Goldenrod,"€32073,08"
50,CX-9,2007,3D73Y3HL0AG548136,Maroon,"€32630,73"
51,Galant,2010,WBAYM1C54ED641217,Puce,"€32373,36"
52,SC,2006,WAUJT54B04N555251,Violet,"€38472,27"
53,GS,2000,WAUEG74F56N892666,Teal,"€14504,90"
54,Routan,2012,WAU3FAFR7DA691113,Mauv,"€28485,17"
55,Century,1996,WBA3N7C5XEF687939,Khaki,"€34398,44"
56,Astro,2005,WA1VMBFEXBD915906,Pink,"€38417,35"
57,V12 Vantage,2012,JN1CV6AP8DM027817,Mauv,"€26795,41"
58,Sierra 3500,2012,WAUEFBFL9DN430536,Puce,"€25157,88"
59,RL,1998,5J8TB3H34EL457344,Khaki,"€24535,60"
60,Miata MX-5,1994,YV4852CZ4B1514812,Goldenrod,"€26374,49"
61,CL,2002,1D7CE3BKXAS412145,Indigo,"€30152,75"
62,Ranger,2004,1G6DA8EY1B0496864,Mauv,"€38671,96"
63,Town Car,1994,WAU3FAFR3AA373257,Fuscia,"€24393,41"
64,Protege,2002,2G4GN5EC7B9058644,Maroon,"€26047,35"
65,Grand Prix,2007,4T1BD1FK9FU858401,Teal,"€17045,38"
66,Bronco II,1990,JHMZF1D65ES887664,Violet,"€30900,30"
67,Sportvan G20,1992,KNAFX6A83F5684208,Green,"€23987,48"
68,Sequoia,2002,TRUTC28N341451137,Turquoise,"€24037,47"
69,Falcon,1966,WA1BY94L28D014488,Violet,"€18237,70"
70,Corolla,2004,JN1AJ0HP7CM170844,Puce,"€24444,36"
71,911,1989,2G4GY5GV3B9906993,Red,"€26880,35"
72,LaCrosse,2009,2FMDK3AK1DB871693,Pink,"€15959,82"
73,Boxster,2012,1GYFK23249R788877,Mauv,"€37799,83"
74,Bravada,1993,1G4HP52KX3U300003,Indigo,"€31271,10"
75,B-Series,2009,5N1AR1NB8CC941673,Red,"€34528,89"
76,3500,1995,3GYT4LEF7BG242566,Blue,"€15635,14"
77,1 Series,2009,TRUUT28N061432651,Fuscia,"€24216,97"
78,E350,2012,WBAUL73578V413957,Pink,"€21645,33"
79,Mustang,1987,2D4RN4DG0BR152184,Crimson,"€37024,44"
80,Expedition EL,2011,4T1BF1FK0FU322320,Teal,"€33882,76"
81,Rainier,2004,1N6AA0CC0EN690167,Crimson,"€11372,04"
82,Dakota,2011,WAUMFAFLXDA716019,Mauv,"€24970,34"
83,Carens,2007,SCFAB01AX8G298891,Aquamarine,"€25107,41"
84,3 Series,2011,WAUSFAFL5AA502400,Puce,"€28041,22"
85,D350 Club,1992,JN1AZ4EH9DM783014,Mauv,"€17737,49"
86,RL,1997,1HGCP2E31CA855183,Crimson,"€39139,80"
87,QX,2000,WAUMFAFR6EA560387,Crimson,"€35905,21"
88,Forenza,2007,3GYFNBEY6BS722522,Puce,"€18420,10"
89,Patriot,2011,1G6KE57Y52U818809,Turquoise,"€20996,14"
90,Express 3500,2010,WAUJT68E15A017189,Puce,"€34292,56"
91,Sequoia,2007,1GYS3JEF2ER276700,Violet,"€14706,92"
92,Falcon,1966,JTHFF2C20E2688271,Orange,"€35125,53"
93,Reventón,2008,JTDKN3DU5A0229185,Green,"€13063,96"
94,Tacoma,2002,WA1YD64B55N817099,Red,"€14289,08"
95,Stealth,1993,3C63D3JL2CG599499,Yellow,"€31143,26"
96,Metro,1996,JTHBK1EG1B2970041,Orange,"€31393,49"
97,RX-7,1991,1FMJU1G51AE038463,Yellow,"€39035,23"
98,G25,2012,SAJWA0JH7EM857848,Crimson,"€11911,96"
99,Corolla,1992,WBABN53473P652046,Indigo,"€15649,01"
100,F250,2012,4T1BK3DBXBU269341,Orange,"€30737,29"
101,Cayman,2008,1FBAX2CM6FK928064,Indigo,"€15419,84"
102,Stealth,1996,2HNYD18994H509709,Green,"€29406,60"
103,Mariner,2006,1FTSW3B5XAE131729,Goldenrod,"€14931,53"
104,Windstar,2003,WAUYGBFC3CN048057,Yellow,"€36513,46"
105,500E,1993,WAUMFAFH0FN129979,Fuscia,"€39965,24"
106,Villager,1998,WAUEH94F68N043299,Pink,"€18617,85"
107,Town Car,1994,WBA3B3G5XEN030611,Red,"€10754,53"
108,Cube,2010,WAUBF78E86A665020,Mauv,"€36421,56"
109,riolet,1993,1D7RV1GP5BS111075,Khaki,"€18660,93"
110,Lancer Evolution,2005,JTDKN3DU4F0831602,Maroon,"€19704,40"
111,Continental Mark VII,1990,JTHBL1EFXD5166780,Green,"€31027,71"
112,Silverado,2003,WAULFAFH7AN813836,Turquoise,"€37017,04"
113,Thunderbird,1988,WAUGFAFR7CA449115,Puce,"€12012,31"
114,Familia,1991,5N1AT2MK9FC495790,Khaki,"€26458,37"
115,Tempest,1967,JN1CV6EK3EM294881,Red,"€16446,04"
116,Rodeo,1992,WBAPH735X9A070844,Indigo,"€34850,31"
117,LeMans,1967,WAULFAFHXCN716407,Purple,"€35235,48"
118,E350,2010,WAUKFAFL3DN362456,Pink,"€13152,94"
119,Ram Van B150,1992,WBAUT9C50CA358263,Teal,"€39734,15"
120,Titan,2008,1G6KD57YX9U327083,Mauv,"€36368,45"
121,5 Series,1997,1G6DC1ED7B0768672,Red,"€33379,19"
122,Cougar,1987,1C3BC2EB9BN819685,Indigo,"€30982,98"
123,911,2012,KNDJT2A18B7039251,Pink,"€29565,66"
124,Sierra 1500,1999,JM1DE1HY1B0849804,Turquoise,"€23370,17"
125,G25,2011,2G61T5S39E9307344,Blue,"€17532,73"
126,Tundra,2002,WBABW53425P217578,Orange,"€30420,00"
127,Aerostar,1996,2G4GU5GX5E9202912,Pink,"€21811,63"
128,Sentra,1999,WBA3A5G54EN506172,Fuscia,"€39026,56"
129,Range Rover Sport,2008,JN8AS5MT7AW297190,Red,"€24399,80"
130,Savana 1500,2008,JTHBW1GG6D2131121,Pink,"€29755,35"
131,Eos,2012,4T1BF1FK8DU189268,Violet,"€16554,63"
132,F-Series,1987,3N1CN7AP2EK507682,Blue,"€31005,81"
133,Miata MX-5,2006,1N6AF0KY9EN984889,Maroon,"€15069,52"
134,C30,2009,WBAVB73528F603490,Teal,"€15839,43"
135,Cobalt,2007,WAUVT58E14A114080,Aquamarine,"€35884,21"
136,Arnage,2006,1GD11XEG7FF635346,Violet,"€37347,31"
137,Q5,2010,1G6DM5EV7A0151753,Purple,"€25776,08"
138,Quattroporte,1985,WAUAH74F59N302420,Red,"€31013,20"
139,Cougar,1984,1G6DJ8E36D0899830,Aquamarine,"€14803,94"
140,Bronco II,1989,JH4CU2F60EC698851,Red,"€28512,00"
141,88,1994,WAUPL68EX5A797137,Yellow,"€30645,23"
142,M-Class,2002,WAUFMBFC9EN675882,Teal,"€33144,13"
143,Ram Wagon B350,1994,1C6RD6PT0CS741277,Aquamarine,"€29964,87"
144,2500 Club Coupe,1998,WBANN73597C940472,Puce,"€16268,11"
145,Firebird,1996,1GYS4JEF4DR953726,Puce,"€28832,86"
146,Avenger,1995,1C6RD6MT3CS322537,Turquoise,"€26214,37"
147,VUE,2009,1C4RDJDG6CC120963,Violet,"€23926,27"
148,CLK-Class,2006,WBAVB73567K614532,Blue,"€30000,72"
149,Ram Van 3500,1998,1GD02ZCG2DF334178,Mauv,"€15003,98"
150,Aerio,2002,1FTMF1CW6AF823680,Indigo,"€26129,27"
151,Exige,2008,WAUDH48H58K916469,Teal,"€27848,21"
152,Matrix,2004,5BZBF0AA0FN837485,Red,"€24517,18"
153,MDX,2012,3G5DB03EX5S902682,Puce,"€39309,52"
154,Regal,2000,5LMJJ3H54BE036095,Yellow,"€35974,36"
155,LeMans,1988,WBA3T1C55EP674903,Turquoise,"€15263,24"
156,S-Class,2002,WBAFU7C55CD899205,Goldenrod,"€26977,94"
157,CL-Class,2006,WDDPK4HAXFF926849,Khaki,"€17374,34"
158,RL,2006,WBA5A5C50ED326885,Pink,"€25876,48"
159,Dakota Club,1996,JM3KE2BE2D0176916,Green,"€31980,92"
160,SL-Class,2000,1FTSW2B53AE285662,Puce,"€30350,11"
161,Flex,2010,JTEBU4BF9AK771001,Red,"€18953,37"
162,Ram 3500,1996,5UXWX7C53BL724707,Goldenrod,"€10637,74"
163,Contour,1998,2FMDK3AKXDB145217,Violet,"€18092,24"
164,Catera,1999,1GD11ZCG0CF194251,Green,"€23559,88"
165,Swift,2005,3D4PH6FV3AT920094,Maroon,"€36841,43"
166,GS,2009,JN8AZ2KR4DT317757,Aquamarine,"€35312,92"
167,5000S,1986,1G6KE57Y22U551239,Aquamarine,"€14834,91"
168,Silverado 1500,2012,2C3CDXJG9DH743624,Crimson,"€24301,72"
169,EXP,1985,1G6DU6ED2B0350532,Turquoise,"€11904,74"
170,STS,2009,19VDE3F39DE434610,Violet,"€33952,87"
171,3500 Club Coupe,1998,1G6KD57958U058496,Orange,"€35805,50"
172,Firebird,1996,2B3CJ7DJ3BH932893,Fuscia,"€39903,06"
173,XC70,2007,WBASP4C51AC287705,Teal,"€20139,10"
174,Explorer Sport Trac,2009,WAUFFAFM8AA262172,Turquoise,"€34230,75"
175,GLK-Class,2011,1G6DZ67A980128969,Green,"€22622,60"
176,S90,1997,1G6DT57V080580680,Teal,"€14319,61"
177,Accord,2012,KL4CJCSB1DB920296,Mauv,"€33586,83"
178,Forester,2001,1GKUCGEJ6AR150974,Khaki,"€12807,42"
179,FX,2007,1GYS4EEJ5BR754290,Red,"€19253,82"
180,Suburban 1500,2009,WA1YD64B35N038431,Purple,"€10113,78"
181,Gallardo,2012,2G4GR5ERXD9797809,Blue,"€19544,41"
182,Ram 2500,2010,YV1672MK3D2205782,Green,"€37261,16"
183,MKX,2013,JH4NA21624S460707,Pink,"€19086,50"
184,Legend,1990,1G6DU6EA4A0888900,Goldenrod,"€39796,73"
185,Continental GT,2009,WAUMGBFL2AA045962,Yellow,"€30962,35"
186,Ram 2500 Club,1995,1GYS4EEJXCR723540,Green,"€22730,16"
187,Allroad,2005,1GYS3KEF7BR811330,Orange,"€13420,35"
188,RX Hybrid,2010,SALWG2VF4FA132446,Khaki,"€32046,26"
189,rio,2001,1D7CE5GK2AS891553,Violet,"€11913,77"
190,F-Series,1996,1G6DM1ED9B0699674,Green,"€11306,58"
191,745,2004,WBAKB4C59CC314778,Red,"€26599,58"
192,Bronco,1990,WA1CGBFE5CD338637,Aquamarine,"€34812,66"
193,Explorer Sport Trac,2000,W04GN5EC7B1182111,Yellow,"€19841,07"
194,Navigator,2003,WAULC58E72A433911,Goldenrod,"€26478,97"
195,Solstice,2008,KL4CJHSB1FB843106,Green,"€17622,76"
196,Breeze,2000,1G4HP57M29U478717,Mauv,"€35959,23"
197,D350 Club,1993,4F2CY0C77AK635513,Indigo,"€36313,70"
198,S10,1994,WBAEW53444P847873,Indigo,"€36768,82"
199,Lancer,2003,KNALN4D71F5493273,Goldenrod,"€27751,66"
200,Grand Voyager,1998,2C3CDXCT3CH605389,Indigo,"€20814,05"
201,V12 Vantage,2011,5TFAW5F12FX021240,Teal,"€10029,21"
202,Legend,1987,2G4WS52J621580963,Aquamarine,"€11684,02"
203,Corvette,1967,JHMZE2H34BS505970,Fuscia,"€20580,25"
204,3 Series,2012,WAUJC58E72A651158,Indigo,"€10358,53"
205,tC,2005,WAUKF78E35A982525,Teal,"€20601,44"
206,Grand Prix,1989,WBAVD53587A275437,Goldenrod,"€14140,14"
207,Avalon,2012,3C3CFFCR9DT273928,Yellow,"€28210,30"
208,Relay,2005,1GYS3DEF8BR234836,Yellow,"€32788,63"
209,Celica,1992,WAUVC68E05A109928,Teal,"€39985,42"
210,Prius,2008,5NPDH4AE7EH302116,Maroon,"€12389,14"
211,TT,2008,WAUGL58EX5A042175,Yellow,"€24009,24"
212,CT,2012,WVGEF9BP2FD418530,Orange,"€15942,99"
213,Explorer Sport Trac,2002,JH4NA12644T720737,Purple,"€39687,62"
214,3 Series,2002,1GYS3TKJ5FR734770,Crimson,"€32432,75"
215,MGB,1977,1G6AC5S38F0049443,Violet,"€25302,22"
216,Sebring,2001,2HNYD2H82DH402854,Aquamarine,"€37893,16"
217,Crown Victoria,2005,YV1902FHXB2105694,Pink,"€35699,28"
218,Legacy,2009,1G6DL5EV6A0248011,Blue,"€32940,96"
219,Brat,1984,JM1BL1H35A1840386,Blue,"€18551,75"
220,Camaro,1977,WBS3C9C58FP070211,Purple,"€38303,25"
221,S5,2009,1GYEE437180805860,Pink,"€10460,98"
222,F-Series,2010,1N4CL2AP5BC730053,Orange,"€23155,82"
223,Sable,2002,W04G15GVXB1809104,Orange,"€18147,03"
224,Charger,2009,WBABW534X6P847141,Aquamarine,"€14947,10"
225,Mazda5,2010,WVGDP9BPXED389141,Crimson,"€30746,93"
226,C70,2009,1G6DG8EY6B0120403,Green,"€18523,69"
227,530,2006,WAUBF78E47A366996,Puce,"€25318,40"
228,A6,2008,1G4GJ5G31CF558851,Red,"€21585,22"
229,DeVille,2005,KL4CJESB8DB530047,Pink,"€13885,06"
230,GTI,2005,4T1BK3DB5CU468587,Crimson,"€11409,54"
231,LaCrosse,2012,WBAVT13506K168497,Khaki,"€39496,63"
232,Tracer,1989,1G6DK8E37C0904206,Turquoise,"€17534,27"
233,Mazda6,2005,WAUJT64B54N208343,Khaki,"€37644,22"
234,Eurovan,1992,1GYS4FEJ7CR579063,Crimson,"€37315,81"
235,DTS,2010,WA1DKAFP3BA498563,Fuscia,"€16466,98"
236,F150,1996,1FMJU1J52AE664970,Teal,"€35144,45"
237,Elantra,2006,1ZVBP8AM1D5127351,Maroon,"€38934,34"
238,MPV,2002,KNAFK4A66E5595233,Green,"€28228,07"
239,CL,1999,5LMCJ1A93FU321120,Goldenrod,"€36331,87"
240,GranSport,2005,SCBBR53W168168660,Indigo,"€10774,66"
241,Relay,2006,JHMFA3F20BS849231,Indigo,"€20185,57"
242,VUE,2006,4T1BK1EB6EU694191,Crimson,"€16922,79"
243,SJ,1991,1G6AV5S82F0685278,Yellow,"€19579,92"
244,Electra,1989,W04GU5GC9B1232202,Pink,"€33078,70"
245,New Beetle,2005,3D73M3CL9BG458844,Green,"€10610,24"
246,Avenger,1998,1G6DS8E38C0596754,Goldenrod,"€16588,95"
247,T100 Xtra,1995,19VDE1F38FE353508,Violet,"€19443,40"
248,A5,2012,1G4CU541254179283,Blue,"€31468,46"
249,9-5,2004,WAUCFAFR3AA639893,Turquoise,"€19848,12"
250,929,1994,JN1AZ4EH4AM935292,Pink,"€15466,08"
251,Pilot,2008,1FAHP2DW0BG564322,Crimson,"€37345,42"
252,Amigo,1999,WA1WYAFE1AD712226,Fuscia,"€35981,97"
253,EXP,1986,1D7RV1GP0AS275638,Red,"€17247,01"
254,CR-X,1985,WVGEP9BP0FD554250,Mauv,"€14856,28"
255,530,2007,3GYFNAE31FS562148,Puce,"€14737,09"
256,Range Rover,1992,WBAHL03516D672195,Khaki,"€37420,21"
257,Xterra,2007,3A4GY5F9XAT420194,Violet,"€22639,08"
258,Catera,1998,JTJYWRBZ0F2955313,Violet,"€12459,20"
259,Metro,1996,WAUVC58E13A276340,Fuscia,"€18586,14"
260,Tercel,1994,1G6AJ5S30D0733678,Yellow,"€21722,70"
261,Solstice,2007,NM0KS9BN2AT704293,Puce,"€36258,73"
262,Pajero,2000,1G6DS1E32D0566948,Maroon,"€13502,64"
263,NSX,1997,1FTWW3B54AE898655,Goldenrod,"€11826,22"
264,CC,2010,4T1BK3DB0AU301633,Red,"€15393,66"
265,Prizm,1999,2C3CDYCJ9EH176914,Mauv,"€30411,67"
266,Galaxie,1966,5J6TF3H50FL472939,Crimson,"€38516,00"
267,Azure,2007,1FA6P0G70F5260831,Blue,"€36849,74"
268,Evora,2011,3D7TP2CT4AG887924,Crimson,"€34329,29"
269,Century,1994,2B3CL5CT6BH976422,Red,"€11296,87"
270,Sierra,2008,1C3BCBEB3DN164619,Mauv,"€37126,12"
271,Mustang,1989,JTDJTUD37ED335375,Goldenrod,"€33926,73"
272,MPV,1994,WAUBNBFB4BN573999,Purple,"€21645,67"
273,MPV,2006,3GYT4NEF4CG051698,Mauv,"€33233,43"
274,300CE,1993,2G4GT5GV9D9214299,Fuscia,"€30847,50"
275,928,1989,WBA4A9C54FG578013,Green,"€32597,00"
276,Volt,2012,WBALL5C57EE733985,Indigo,"€30734,06"
277,LS,2009,KMHTC6AD5EU563923,Mauv,"€39406,57"
278,RSX,2002,1FBNE3BL8BD091841,Mauv,"€26902,30"
279,Caprice,1991,JHMZF1C47BS946029,Indigo,"€34180,68"
280,C70,2001,2LMHJ5AR4BB370055,Blue,"€35899,04"
281,MPV,2001,WVGEF9BP0FD951847,Pink,"€32107,31"
282,W201,1985,SCFAD22353K728502,Red,"€13453,74"
283,Mirage,2002,1G4GF5G36DF800097,Green,"€32773,65"
284,Grand Marquis,1994,1GD022CG4CZ719553,Violet,"€19427,13"
285,Accord,1996,1GYEE53A390643975,Puce,"€18371,84"
286,Forester,1999,WA1CFAFP6CA319613,Pink,"€11348,25"
287,S80,2006,5XYKT3A60EG276541,Maroon,"€20207,37"
288,Festiva,1990,2HNYD18462H116106,Crimson,"€27781,99"
289,Express,2009,JH4NA12695S782934,Pink,"€26070,29"
290,F450,2011,WAUSH74F87N667661,Violet,"€15164,59"
291,240,1992,3C3CFFARXFT914946,Puce,"€27029,05"
292,Santa Fe,2005,1HGCP2E79BA709924,Maroon,"€29846,68"
293,Escalade,2010,1FTEW1C82AK107470,Aquamarine,"€31967,25"
294,Compass,2009,1GT01XEG5FZ232187,Goldenrod,"€11282,36"
295,GS,1994,2G61S5S3XF9128931,Khaki,"€14136,11"
296,Q,2004,WAUAFAFL9EN535605,Yellow,"€23759,91"
297,Forester,2004,3VW1K7AJ9CM411488,Goldenrod,"€34029,71"
298,CLS-Class,2008,WAUGN94F69N740362,Aquamarine,"€21925,17"
299,RX,2005,WBA3B1C58EF367170,Pink,"€11742,95"
300,G-Series G20,1994,WBA5B3C58FD800827,Pink,"€27643,15"
301,Golf,1993,1FTKR1ADXBP199894,Goldenrod,"€24621,25"
302,XJ,2006,1D7RW5GK0BS378780,Green,"€30224,19"
303,Protege,1992,1G6DN56S950166780,Teal,"€30955,16"
304,Tredia,1988,WAUSF78EX7A912765,Khaki,"€22763,53"
305,Ram 2500,1994,WAUVC68E94A733077,Blue,"€11711,99"
306,Sable,1993,WAUFFAFL2EN399047,Fuscia,"€36195,95"
307,Galant,2008,3D73Y3HL2AG641272,Green,"€27478,05"
308,Mustang,1998,WAUHGBFCXEN500377,Red,"€11090,23"
309,Sebring,2001,19UUA9F21CA799203,Yellow,"€18879,28"
310,C-Class,2007,JN1AZ4EH7FM173745,Mauv,"€10516,05"
311,Econoline E150,1993,WBA3B3C50FJ657106,Purple,"€36567,12"
312,Aries,1981,SCBBP9ZA4AC226517,Indigo,"€25856,10"
313,Grand Prix,1989,WBAVC535X8A563478,Green,"€15655,74"
314,Grand Marquis,1997,JN1BY1AP3DM049925,Mauv,"€39807,15"
315,Venture,2002,5YMGZ0C5XBL938818,Pink,"€28124,10"
316,A8,2000,19UUA65586A092503,Puce,"€11390,07"
317,MDX,2002,JTDKN3DP6E3484040,Khaki,"€21653,92"
318,Corvette,1964,1GD02ZCG8DF098510,Aquamarine,"€32560,72"
319,GranTurismo,2008,1GKS1AE0XER841352,Pink,"€33813,48"
320,Savana 3500,2004,1G6AK5S39F0454858,Yellow,"€38154,64"
321,Accent,2002,WAUCFAFR5CA502781,Crimson,"€17836,66"
322,S4,2000,1FTFW1E83AF815186,Aquamarine,"€18074,63"
323,F350,1999,WA1EY74L79D540294,Pink,"€29006,34"
324,Cougar,1985,1FTEX1CW2AK260894,Khaki,"€39926,75"
325,DeVille,1998,JHMZF1D67ES682413,Puce,"€22045,87"
326,Silverado,2002,4JGCB2FE6AA813422,Indigo,"€13626,82"
327,Grand Am,1987,4T3BK3BB1FU963822,Fuscia,"€30929,00"
328,X6,2013,JN1CV6FE0EM901392,Blue,"€29379,17"
329,3 Series,1997,JN1AV7AP6FM581812,Green,"€37979,93"
330,Gallardo,2006,WVWBB7AJ3DW990616,Purple,"€32585,48"
331,Q,2000,WA1CFAFP9CA522740,Aquamarine,"€16986,50"
332,Optima,2001,1D7RB1GT1AS287982,Green,"€16191,71"
333,SC,2003,KMHTC6AD7CU059693,Yellow,"€10987,42"
334,Cabriolet,1995,WA1DGBFE4ED823763,Aquamarine,"€35003,64"
335,Sienna,2000,5N1AN0NWXDN726939,Turquoise,"€17718,22"
